id,fecha_venta,modelo,cantidad,precio_unitario,tarjeta_de_credito
37, 7/6/2022 , RL, 7 , 14820.219727 ,    374622057860362
38, 4/28/2022 , Century, 38 , 15965.179688 ,    374622057860362
39, 12/1/2021 , Passat, 39 , 19406.599609 ,    374622057860362
40, 4/1/2022 , Avalon, 40 , 18788.150391 ,    374622057860362
41, 11/6/2022 , Prelude, 41 , 7118.029785 ,    374622057860362
42, 4/21/2022 , Grand Marquis, 9 , 16486.490234 ,    374622057860362
43, 11/5/2022 , Tucson, 3 , 17531.720703 ,    374622057860362
44, 2/5/2022 , Forte, 14 , 12452.330078 ,    5048370724247739
45, 9/9/2022 , Breeze, 10 , 12055.750000 ,    374622057860362
46, 1/31/2022 , Reatta, 3 , 7049.350098 ,    374622057860362
47, 7/15/2022 , Camry, 37 , 13388.990234 ,    374622057860362
48, 11/6/2022 , X6, 8 , 5188.879883 ,    374622057860362
49, 6/24/2022 , Regal, 9 , 14359.830078 ,    374622057860362
51, 9/29/2022 , Armada, 1 , 19502.130859 ,    5010120888419481
52, 1/13/2022 , Viper, 2 , 2660.070068 ,    374622057860362
53, 6/18/2022 , Viper, 3 , 18215.910156 ,    374622057860362
54, 2/19/2022 , Envoy, 4 , 15616.240234 ,    374622057860362
55, 12/18/2021 , Silverado 2500, 5 , 12763.679688 ,    374622057860362
56, 12/13/2021 , Ram 2500, 6 , 17533.060547 ,    374622057860362
57, 4/20/2022 , Mulsanne, 7 , 8095.680176 ,    374622057860362
58, 7/30/2022 , Ram Wagon B250, 8 , 6105.430176 ,    374622057860362
59, 5/20/2022 , Land Cruiser, 9 , 2594.659912 ,    374622057860362
60, 9/1/2022 , Stratus, 2 , 6841.149902 ,    374622057860362
61, 11/23/2021 , Sprinter, 1 , 7694.500000 ,    374622057860362
62, 6/29/2022 , Riviera, 4 , 13691.570312 ,    5100136902762376
63, 10/30/2022 , Explorer, 7 , 13187.629883 ,    374622057860362
64, 3/18/2022 , Cutlass Supreme, 2 , 19734.099609 ,    374622057860362
65, 12/20/2021 , Quattro, 9 , 7209.540039 ,    374622057860362
66, 9/19/2022 , Gran Sport, 5 , 19163.369141 ,    374622057860362
67, 7/1/2022 , 6 Series, 7 , 13034.320312 ,    374622057860362
68, 12/21/2021 , Silverado, 2 , 6241.029785 ,    374622057860362
69, 5/31/2022 , Savana 3500, 1 , 4347.870117 ,    374622057860362
70, 8/4/2022 , Escalade ESV, 9 , 11334.599609 ,    374622057860362
71, 3/15/2022 , Prizm, 7 , 5347.259766 ,    374622057860362
72, 10/25/2022 , Corolla, 72 , 10599.410156 ,    374622057860362
73, 10/20/2022 , Leaf, 8 , 3780.729980 ,    374622057860362
74, 6/11/2022 , Colt, 4 , 4864.680176 ,    374622057860362
75, 12/21/2021 , Swift, 5 , 13897.629883 ,    374622057860362
76, 12/8/2021 , Elantra, 6 , 19060.810547 ,    374622057860362
77, 10/27/2022 , 300D, 7 , 5267.040039 ,    374622057860362
78, 10/2/2022 , 2500 Club Coupe, 3 , 10615.750000 ,    374622057860362
79, 6/29/2022 , Ram 3500, 4 , 4795.939941 ,    374622057860362
80, 9/29/2022 , GTO, 6 , 10058.240234 ,    374622057860362
81, 10/18/2022 , FF, 9 , 12799.730469 ,    374622057860362
82, 6/21/2022 , V12 Vantage, 2 , 2131.070068 ,    374622057860362
83, 9/10/2022 , Taurus, 1 , 19719.650391 ,    5108753853953499
84, 10/7/2022 , Safari, 1 , 2990.909912 ,    374622057860362
85, 8/5/2022 , Evora, 2 , 13119.429688 ,    374622057860362
86, 1/25/2022 , Starion, 8 , 4964.459961 ,    374622057860362
87, 12/29/2021 , Yukon XL 2500, 1 , 14458.299805 ,    374622057860362
88, 3/10/2022 , CLK-Class, 1 , 16405.419922 ,    374622057860362
89, 10/5/2022 , 88, 31 , 16336.900391 ,    374622057860362
90, 3/8/2022 , Passat, 8 , 10730.769531 ,    374622057860362
91, 11/9/2022 , XJ Series, 1 , 15153.830078 ,    374622057860362
92, 6/9/2022 , VS Commodore, 2 , 18506.890625 ,    374622057860362
93, 4/27/2022 , Element, 7 , 18710.560547 ,    374622057860362
94, 1/7/2022 , SL-Class, 4 , 3963.689941 ,    374622057860362
95, 2/2/2000 , Chevrolet ONIX, 2 , 2000.000000 , 1111111111111111
